cd_org,lb_org,adresse,adresse_complement,lb_cmne,code_postal,lb_type_association,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
PDL0049078,BMB - BEGROLLES LE MAY BASKET,8 RUE DES SPORTS,COMPLEXE SPORTIF F. PLOTIN,BEGROLLES-EN-MAUGES,49122,Club ,-0.942851,47.139591,0.5804584491978609,0.349472966507177,8 Rue des Sports 49122 Bégrolles-en-Mauges,housenumber,49027_0200_00008,8,8 Rue des Sports,Rue des Sports,49122,Bégrolles-en-Mauges,"49, Maine-et-Loire, Pays de la Loire",49027,,,,ok
PDL0049079,MONTREUIL BELLAY,rue de la mairie,,MONTREUIL-BELLAY,49260,Club ,-0.15665,47.131579,0.9080208624708623,0.7755204439746299,Rue de la Mairie 49260 Montreuil-Bellay,street,49215_1133,,Rue de la Mairie,Rue de la Mairie,49260,Montreuil-Bellay,"49, Maine-et-Loire, Pays de la Loire",49215,,,,ok
PDL0049080,EVRE BASKET CLUB,13 RUE SAINT NICOLAS MONTREVAULT,,SAINT-PIERRE-MONTLIMART,49110,Club ,-1.03139,47.274525,0.5712329405162738,0.5632930303030304,13 Rue des Glycines (St Pierre-Montlimart) 49110 Montrevault-sur-Èvre,housenumber,49218_0641_00013,13,13 Rue des Glycines (St Pierre-Montlimart),Rue des Glycines (St Pierre-Montlimart),49110,Montrevault-sur-Èvre,"49, Maine-et-Loire, Pays de la Loire",49218,49313,St Pierre-Montlimart,,ok
PDL0049081,Association loisirs et jeunesse de MORANNES,mairie,place du stade,Morannes sur Sarthe-Daumeray,49640,Club ,-0.36489,47.700787,0.621199668109668,0.6105090909090909,Rue de la Prée 49640 Morannes sur Sarthe-Daumeray,street,49220_0558,,Rue de la Prée,Rue de la Prée,49640,Morannes sur Sarthe-Daumeray,"49, Maine-et-Loire, Pays de la Loire",49220,49119,Daumeray,,ok
PDL0049082,MURS ERIGNE BASKET CLUB,5 CHEMIN DE BELLEVUE,,MURS-ERIGNE,49610,Club ,-0.537631,47.398966,0.9109040191387558,0.5866063636363636,5 Chemin de Bellevue 49610 Mûrs-Erigné,housenumber,49223_0022_00005,5,5 Chemin de Bellevue,Chemin de Bellevue,49610,Mûrs-Erigné,"49, Maine-et-Loire, Pays de la Loire",49223,,,,ok
PDL0049083,NEUVY EN MAUGES,MAIRIE DE NEUVY EN MAUGES,,NEUVY-EN-MAUGES,49120,Club ,-0.802504,47.262693,0.6127950085763292,0.6036989610389609,La Saulaie de Neuvy 49120 Chemillé-en-Anjou,street,49092_vhn4xh,,La Saulaie de Neuvy,La Saulaie de Neuvy,49120,Chemillé-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49092,49225,Neuvy-en-Mauges,,ok
PDL0049084,POITEVINIERE LE PIN,RUE DE LA MAIRIE,,LE PIN-EN-MAUGES,49110,Club ,-0.899377,47.254762,0.7627779051383399,0.7533157024793388,Rue de la Marchaiserie 49110 Beaupréau-en-Mauges,street,49023_3334,,Rue de la Marchaiserie,Rue de la Marchaiserie,49110,Beaupréau-en-Mauges,"49, Maine-et-Loire, Pays de la Loire",49023,49239,Le Pin-en-Mauges,,ok
PDL0049085,PLESSIS GRAMMOIRE,MAIRIE DU PLESSIS,,PLESSIS-GRAMMOIRE,49124,Club ,-0.429935,47.499266,0.5998619429590016,0.5166661171032357,Rue de la Mairie 49124 Le Plessis-Grammoire,street,49241_0065,,Rue de la Mairie,Rue de la Mairie,49124,Le Plessis-Grammoire,"49, Maine-et-Loire, Pays de la Loire",49241,,,,ok
PDL0049086,CTC LES MAUGES,,,CHOLET,49300,Coopération Territoriale Club ,-0.875399,47.036408,0.9536618181818182,0.5216745454545454,Cholet,municipality,49099,,Cholet,,49300,Cholet,"49, Maine-et-Loire, Pays de la Loire",49099,,,,ok
PDL0049087,POMJEANNAIS BASKET CLUB,MAIRIE,56 RUE DE LA LOIRE,MAUGES SUR LOIRE,49620,Club ,-0.859704,47.361693,0.6649560606060605,0.6121661983471074,56 Rue de la Loire (La Pommeraye) 49620 Mauges-sur-Loire,housenumber,49244_0240_00056,56,56 Rue de la Loire (La Pommeraye),Rue de la Loire (La Pommeraye),49620,Mauges-sur-Loire,"49, Maine-et-Loire, Pays de la Loire",49244,49244,La Pommeraye,,ok
